domain_names,in_whitelist
wiser-ikipedia.justdied.com,False
rectangularstandardrorutes--emnnmineet.repl.co,False
mjnordic.se,False
holy-shape-3cd6.51g0jm50281.workers.dev,False
verfddonecnbm.firebaseapp.com,False
wwacessfaaa.com,False
mubant.000webhostapp.com,False
emaze.me,False
looksrare-org.space,False
mundohechoparati.dondevayas.repl.co,False
revokesync.com,False
bafybeiatg56jqpok2hi37esf7p5irfhe2kyjgfia74gw4kgi4piqkfpieq.ipfs.dweb.link,False
smsbank.verify-auth-au.com,False
blockchain4-mmn.com,False
dominionovo3.com,False
a0a27e41-57e1-41d6-9983-7fe8f338a8e4.id.repl.co,False
bafybeiajuxq27axdpsrkhvi4sroijeoxs7x7t6uu6jb7akn7aswzgdkmfu.ipfs.cf-ipfs.com,False
fleek.ipfs.io,False
odistribuidordebebidas.com,False
pkmrtjlkjh.echo4frpp.club,False
rocktpool.link,False
btbusiness-85c04d.webflow.io,False
betterchange.ru,False
conto-online-info.66-29-145-227.cprapid.com,False
hubkart.in,False
ipfs.io,False
cpcalendars.digitalvyaparseva.com,False
parg.co,False
wordpress-934893-3247296.cloudwaysapps.com,False
qmpsv.pw,False
bafybeifp5xd7rlkiagub3plyvtm4cl7gzctw65ndle7cdxbczbsldlhgy4.ipfs.nftstorage.link,False
chakullc.com,False
strato-kund.myvnc.com,False
kismete.com.sa,False
main.d71ahp55rgpwx.amplifyapp.com,False
kindsweetcertifications--lordperrum12.repl.co,False
mgykrgqcvn.duckdns.org,False
auwintl.com,False
att-106574.weeblysite.com,False
kueronekayaeotn.co.jp.kuerocekayaoooto.qdhkpn.top,False
infractions-antai-gouv.com,False
jason-v-23c46.firebaseapp.com,False
zimbanilnowe.web.app,False
willing.g-tape.com,False
connection-orangebank-certicode.derlma.com,False
prj0rp.webwave.dev,False
checkpoint-8582859910.netlify.app,False
sdcw-ffa0c.firebaseapp.com,False
paymentnotificationnow.blogspot.com,False
revocacredenzialiapp.com,False
web-connectbl.gq,False
amazcecm-co-jp.amazaeon.j6021.cn,False
tg.pe,False
valkonp.top,False
btemail0.wixsite.com,False
mnd.mndnsw.asn.au,False
1DC6C5X0G2.maciejdominiak.pl,False
singwithkimmarie.wixsite.com,False
www-info-smbc.tngoit.com,False
geefarrm.wixsite.com,False
market298347093.online,False
